Order Number ,Order Date,SKU ID,Warehouse ID,Customer Type,Order Quantity,Unit Sale Price,Revenue
SO - 019047,2021-01-04,2938CA,NXH382,Wholesale,3.0,29.206,88
SO - 019048,2021-01-04,2041CA,AXW291,Export,3.0,648.42,1945
SO - 019049,2021-01-04,1497CA,AXW291,Wholesale,4.0,16.71828,67
SO - 019050,2021-01-04,1283CA,NXH382,Wholesale,1.0,98333.33,98333
SO - 019051,2021-01-04,1964BA,GUT930,Wholesale,332.5,99.12769,32960
SO - 019052,2021-01-04,3413AA,AXW291,Wholesale,10.0,35.3004,353
SO - 019053,2021-01-04,3461CA,AXW291,Wholesale,5.0,30.064,150
SO - 019054,2021-01-04,1161AA,NXH382,Distributor,46.0,136.5925,6283
SO - 019055,2021-01-04,1994AA,AXW291,Wholesale,85.0,450.53667,38296
SO - 019056,2021-01-04,2714CA,NXH382,Wholesale,330.0,49.79846,16433
SO - 019057,2021-01-04,1953AA,AXW291,Wholesale,1.0,947.56,948
SO - 019058,2021-01-04,2564BA,FLR025,Wholesale,420.0,309.205,129866
SO - 019059,2021-01-04,2220BA,NXH382,Distributor,5.0,752.0,3760
SO - 019060,2021-01-04,2508BA,AXW291,Wholesale,1.0,463.1,463
SO - 019061,2021-01-04,3365CA,AXW291,Export,3.0,13.3248,40
SO - 019062,2021-01-04,3358BA,AXW291,Wholesale,1.0,1363.64,1364
SO - 019063,2021-01-04,3016BA,AXW291,Wholesale,7.0,20005.8,140041
SO - 019064,2021-01-04,1514BA,FLR025,Wholesale,1.0,332.8,333
SO - 019065,2021-01-04,1882CA,NXH382,Wholesale,1.0,19950.0,19950
SO - 019066,2021-01-04,2935BA,NXH382,Wholesale,20.0,23.495,470
SO - 019067,2021-01-04,1695CA,GUT930,Wholesale,1.0,1649.3,1649
SO - 019068,2021-01-04,2680BA,AXW291,Export,17.0,215.57,3665
SO - 019069,2021-01-05,2956AA,NXH382,Wholesale,49.0,12.02259,589
SO - 019070,2021-01-05,1993AA,FLR025,Wholesale,425.0,83.75125,35594
SO - 019071,2021-01-05,2953CA,AXW291,Wholesale,4.0,1519.82,6079
SO - 019072,2021-01-05,2515BA,AXW291,Distributor,580.0,90.0,52200
SO - 019073,2021-01-05,2938CA,AXW291,Distributor,1.0,29.206,29
SO - 019074,2021-01-05,3407CA,FLR025,Wholesale,3.0,1017.592,3053
SO - 019075,2021-01-05,1990AA,AXW291,Wholesale,5.0,545.845,2729
SO - 019076,2021-01-05,2054CA,AXW291,Distributor,4.0,904.0,3616
SO - 019077,2021-01-05,2515BA,GUT930,Wholesale,11.0,90.0,990
SO - 019078,2021-01-05,2013AA,AXW291,Wholesale,67.0,143.8402,9637
SO - 019079,2021-01-05,2044CA,NXH382,Wholesale,4.0,740.82,2963
SO - 019080,2021-01-05,1953AA,AXW291,Export,1.0,947.56,948
SO - 019081,2021-01-05,3365CA,AXW291,Wholesale,6.0,13.3248,80
SO - 019082,2021-01-05,3423CA,NXH382,Distributor,1.0,29.555,30
SO - 019083,2021-01-05,1908AA,AXW291,Wholesale,1.0,27809.1,27809
SO - 019084,2021-01-05,1601AA,GUT930,Wholesale,8.0,918.403,7347
SO - 019085,2021-01-05,2953CA,AXW291,Wholesale,2.0,1519.82,3040
SO - 019086,2021-01-05,3610AA,NXH382,Wholesale,1.0,156.16,156
SO - 019087,2021-01-05,3502BA,NXH382,Wholesale,12.0,1234.335,14812
SO - 019088,2021-01-05,2291AA,NXH382,Wholesale,500.0,18.75596,9378
SO - 019089,2021-01-05,3407CA,AXW291,Wholesale,5.0,1017.592,5088
SO - 019090,2021-01-05,1317CA,GUT930,Wholesale,1.0,4908.7,4909
SO - 019091,2021-01-05,3177CA,AXW291,Wholesale,56.25,69.45642,3907
SO - 019092,2021-01-05,1330CA,AXW291,Distributor,1.0,6000.0,6000
SO - 019093,2021-01-05,2640BA,NXH382,Wholesale,31.0,444.45667,13778
SO - 019094,2021-01-05,1979AA,AXW291,Wholesale,25.0,278.638,6966
SO - 019095,2021-01-05,1624CA,FLR025,Wholesale,2.0,1531.377,3063
SO - 019096,2021-01-05,2847BA,AXW291,Distributor,756.0,241.79216,182795
SO - 019097,2021-01-05,2227AA,FLR025,Wholesale,1.0,751.635,752
SO - 019098,2021-01-05,1317CA,AXW291,Wholesale,1.0,4908.7,4909
SO - 019099,2021-01-05,1486CA,FLR025,Distributor,5.0,190.72,954
SO - 019100,2021-01-05,1695CA,AXW291,Wholesale,1.0,1649.3,1649
SO - 019101,2021-01-05,1009AA,AXW291,Distributor,1220.0,28.76326,35091
SO - 019102,2021-01-05,1163CA,AXW291,Distributor,37.0,94.66425,3503
SO - 019103,2021-01-05,2227AA,FLR025,Wholesale,7.0,751.635,5261
SO - 019104,2021-01-05,2673BA,AXW291,Wholesale,215.0,13.0,2795
SO - 019105,2021-01-05,1993AA,AXW291,Distributor,1800.0,83.75125,150752
SO - 019106,2021-01-05,3399AA,FLR025,Distributor,7.0,194.753,1363
SO - 019107,2021-01-05,1584BA,NXH382,Distributor,1.0,425.0,425
SO - 019108,2021-01-05,3378CA,NXH382,Export,600.0,1.5,900
SO - 019109,2021-01-05,3079BA,GUT930,Distributor,474.0,134.5,63753
SO - 019110,2021-01-05,3079BA,AXW291,Wholesale,18.0,134.5,2421
SO - 019111,2021-01-05,2515BA,NXH382,Distributor,42.0,90.0,3780
SO - 019112,2021-01-06,2935BA,GUT930,Wholesale,1.0,23.495,23
SO - 019113,2021-01-06,1317CA,GUT930,Export,1.0,4908.7,4909
SO - 019114,2021-01-06,3025CA,AXW291,Wholesale,1.0,1092.5,1093
SO - 019115,2021-01-06,2317CA,GUT930,Wholesale,1800.0,37.26672,67080
SO - 019116,2021-01-06,3494AA,FLR025,Export,102.0,3.5,357
SO - 019117,2021-01-06,1906CA,NXH382,Wholesale,1.0,1893.75,1894
SO - 019118,2021-01-06,1445BA,AXW291,Export,3.0,1291.865,3876
SO - 019119,2021-01-06,2317CA,AXW291,Wholesale,249.0,37.26672,9279
SO - 019120,2021-01-06,3079BA,GUT930,Wholesale,2.0,134.5,269
SO - 019121,2021-01-06,2564BA,GUT930,Export,50.0,309.205,15460
SO - 019122,2021-01-06,3502BA,AXW291,Wholesale,9.0,1234.335,11109
SO - 019123,2021-01-06,2508BA,FLR025,Export,1.0,463.1,463
SO - 019124,2021-01-06,3358BA,AXW291,Wholesale,2.0,1363.64,2727
SO - 019125,2021-01-06,3399AA,NXH382,Wholesale,3.0,194.753,584
SO - 019126,2021-01-06,1971AA,AXW291,Export,160.0,321.9469,51512
SO - 019127,2021-01-06,3533CA,AXW291,Export,250.0,0.64377,161
SO - 019128,2021-01-06,1908AA,GUT930,Wholesale,1.0,27809.1,27809
SO - 019129,2021-01-06,2956AA,AXW291,Distributor,27.0,12.02259,325
SO - 019130,2021-01-06,2236CA,FLR025,Wholesale,6.0,1617.335,9704
SO - 019131,2021-01-06,2840AA,FLR025,Export,332.0,8.61042,2859
SO - 019132,2021-01-06,2923CA,AXW291,Wholesale,10.0,20.18857,202
SO - 019133,2021-01-06,3494AA,AXW291,Export,60.0,3.5,210
SO - 019134,2021-01-06,1624AA,NXH382,Distributor,3.0,722.101,2166
SO - 019135,2021-01-06,3365CA,AXW291,Wholesale,3.0,13.3248,40
SO - 019136,2021-01-06,1624CA,AXW291,Wholesale,2.0,1531.377,3063
SO - 019137,2021-01-06,3590BA,AXW291,Wholesale,12.0,115.085,1381
SO - 019138,2021-01-06,2970CA,AXW291,Distributor,1.0,512.205,512
SO - 019139,2021-01-06,1145BA,AXW291,Distributor,18.0,85.30066,1535
SO - 019140,2021-01-06,1224AA,NXH382,Distributor,468.0,698.0,326664
SO - 019141,2021-01-06,3495CA,NXH382,Distributor,15.0,39.835,598
SO - 019142,2021-01-06,3619CA,GUT930,Wholesale,612.0,0.7455,456
SO - 019143,2021-01-06,3404CA,AXW291,Distributor,1.0,396.54,397
SO - 019144,2021-01-06,2277AA,AXW291,Distributor,294.0,6.37172,1873
SO - 019145,2021-01-06,3027CA,NXH382,Distributor,2.0,1145.83,2292
SO - 019146,2021-01-06,1995AA,AXW291,Wholesale,40.0,100.57182,4023
SO - 019147,2021-01-06,2044CA,NXH382,Distributor,6.0,740.82,4445
SO - 019148,2021-01-06,3619CA,NXH382,Distributor,1200.0,0.7455,895
SO - 019149,2021-01-06,3461CA,NXH382,Distributor,5.0,30.064,150
SO - 019150,2021-01-06,1953AA,AXW291,Wholesale,1.0,947.56,948
SO - 019151,2021-01-06,3576BA,AXW291,Wholesale,6.0,44.79,269
SO - 019152,2021-01-06,3619CA,GUT930,Distributor,2207.0,0.7455,1645
SO - 019153,2021-01-06,2606AA,GUT930,Export,3.0,2041.52333,6125
SO - 019154,2021-01-06,3084CA,NXH382,Distributor,1.0,2769.81,2770
SO - 019155,2021-01-07,2994CA,AXW291,Wholesale,1.0,12977.0,12977
SO - 019156,2021-01-07,3399AA,AXW291,Distributor,2.0,194.753,390
SO - 019157,2021-01-07,1445BA,GUT930,Export,1.0,1291.865,1292
SO - 019158,2021-01-07,1486CA,GUT930,Wholesale,2.0,190.72,381
SO - 019159,2021-01-07,3365CA,GUT930,Distributor,20.0,13.3248,266
SO - 019160,2021-01-07,1624AA,NXH382,Wholesale,1.0,722.101,722
SO - 019161,2021-01-07,2930CA,FLR025,Wholesale,6.0,20.00833,120
SO - 019162,2021-01-07,1499CA,AXW291,Distributor,4.0,6600.0,26400
SO - 019163,2021-01-07,3399AA,AXW291,Export,2.0,194.753,390
SO - 019164,2021-01-07,3495CA,AXW291,Distributor,10.0,39.835,398
SO - 019165,2021-01-07,1317CA,AXW291,Wholesale,1.0,4908.7,4909
SO - 019166,2021-01-07,1255CA,GUT930,Wholesale,1.0,84500.0,84500
SO - 019167,2021-01-07,1497CA,NXH382,Distributor,80.0,16.71828,1337
SO - 019168,2021-01-07,3413AA,AXW291,Wholesale,2.0,35.3004,71
SO - 019169,2021-01-07,3533CA,AXW291,Wholesale,500.0,0.64377,322
SO - 019170,2021-01-07,1130AA,GUT930,Wholesale,400.0,17.26609,6906
SO - 019171,2021-01-07,1630BA,GUT930,Wholesale,5.0,442.803,2214
SO - 019172,2021-01-07,1586CA,GUT930,Wholesale,8.0,286.571,2293
SO - 019173,2021-01-07,2291AA,AXW291,Export,145.0,18.75596,2720
SO - 019174,2021-01-07,2212AA,AXW291,Wholesale,1.0,747.405,747
SO - 019175,2021-01-07,3407CA,NXH382,Distributor,3.0,1017.592,3053
SO - 019176,2021-01-07,2814BA,AXW291,Wholesale,318.0,50.49535,16058
SO - 019177,2021-01-07,3025CA,GUT930,Distributor,1.0,1092.5,1093
SO - 019178,2021-01-07,3551CA,NXH382,Export,500.0,7.06831,3534
SO - 019179,2021-01-07,1145BA,AXW291,Distributor,40.0,85.30066,3412
SO - 019180,2021-01-07,2956AA,AXW291,Distributor,6.0,12.02259,72
SO - 019181,2021-01-07,1956AA,NXH382,Export,1.0,573.09,573
SO - 019182,2021-01-07,2044CA,AXW291,Wholesale,6.0,740.82,4445
SO - 019183,2021-01-07,1163CA,AXW291,Distributor,80.0,94.66425,7573
SO - 019184,2021-01-07,2016CA,FLR025,Wholesale,200.0,267.32395,53465
SO - 019185,2021-01-07,3399AA,AXW291,Distributor,6.0,194.753,1169
SO - 019186,2021-01-07,3556AA,AXW291,Export,14.0,1077.43125,15084
SO - 019187,2021-01-07,1967BA,AXW291,Wholesale,170.0,178.65,30371
SO - 019188,2021-01-07,1130AA,GUT930,Export,1080.0,17.26609,18647
SO - 019189,2021-01-07,2044CA,AXW291,Wholesale,11.0,740.82,8149
SO - 019190,2021-01-07,3551CA,NXH382,Wholesale,200.0,7.06831,1414
SO - 019191,2021-01-07,1379CA,GUT930,Wholesale,7.0,490.18125,3431
SO - 019192,2021-01-07,2016CA,AXW291,Distributor,133.0,267.32395,35554
SO - 019193,2021-01-07,1995AA,AXW291,Wholesale,40.0,100.57182,4023
SO - 019194,2021-01-07,1497CA,NXH382,Wholesale,13.0,16.71828,217
SO - 019195,2021-01-07,1979AA,AXW291,Wholesale,190.0,278.638,52941
SO - 019196,2021-01-07,2212AA,NXH382,Distributor,2.0,747.405,1495
SO - 019197,2021-01-07,2604CA,FLR025,Wholesale,31.0,129.04,4000
SO - 019198,2021-01-08,1964BA,AXW291,Wholesale,340.0,99.12769,33703
SO - 019199,2021-01-08,2336BA,AXW291,Wholesale,22.0,7.92068,174
SO - 019200,2021-01-08,1385CA,GUT930,Wholesale,7.0,1781.5475,12471
SO - 019201,2021-01-08,3160BA,GUT930,Distributor,5.0,270.909,1355
SO - 019202,2021-01-08,1499AA,NXH382,Wholesale,100.0,14.22359,1422
SO - 019203,2021-01-08,2938CA,AXW291,Export,14.0,29.206,409
SO - 019204,2021-01-08,1992AA,GUT930,Distributor,55.0,586.3916,32252
SO - 019205,2021-01-08,1624AA,NXH382,Wholesale,2.0,722.101,1444
SO - 019206,2021-01-08,1624CA,AXW291,Wholesale,1.0,1531.377,1531
SO - 019207,2021-01-08,1295CA,AXW291,Distributor,4.0,175000.0,700000
SO - 019208,2021-01-08,2173CA,GUT930,Wholesale,2.0,444.94,890
SO - 019209,2021-01-08,3619CA,AXW291,Distributor,330.0,0.7455,246
SO - 019210,2021-01-08,1499AA,AXW291,Wholesale,122.0,14.22359,1735
SO - 019211,2021-01-08,1161AA,AXW291,Wholesale,55.0,136.5925,7513
SO - 019212,2021-01-08,2606AA,AXW291,Distributor,1.0,2041.52333,2042
SO - 019213,2021-01-08,1971AA,GUT930,Distributor,70.0,321.9469,22536
SO - 019214,2021-01-08,1624AA,FLR025,Export,2.0,722.101,1444
SO - 019215,2021-01-08,2661CA,AXW291,Distributor,71.0,182.0,12922
SO - 019216,2021-01-08,2970CA,AXW291,Wholesale,1.0,512.205,512
SO - 019217,2021-01-08,3462AA,AXW291,Distributor,100.0,4.1,410
SO - 019218,2021-01-08,2646AA,AXW291,Distributor,87.0,908.33214,79025
SO - 019219,2021-01-08,2727CA,FLR025,Distributor,582.0,21.88943,12740
SO - 019220,2021-01-08,3075AA,FLR025,Wholesale,2.0,60.38,121
SO - 019221,2021-01-08,3448CA,NXH382,Distributor,17.0,6.5255,111
SO - 019222,2021-01-08,1077CA,NXH382,Wholesale,70.0,22.9777,1608
SO - 019223,2021-01-08,2930CA,AXW291,Wholesale,1.0,20.00833,20
SO - 019224,2021-01-08,2265BA,FLR025,Wholesale,3.0,1691.46333,5074
SO - 019225,2021-01-08,1445BA,AXW291,Wholesale,3.0,1291.865,3876
SO - 019226,2021-01-08,3576BA,AXW291,Distributor,5.0,44.79,224
SO - 019227,2021-01-08,3576BA,AXW291,Wholesale,8.0,44.79,358
SO - 019228,2021-01-08,2501CA,GUT930,Distributor,200.0,35.12175,7024
SO - 019229,2021-01-08,2317CA,AXW291,Wholesale,1230.0,37.26672,45838
SO - 019230,2021-01-08,1967BA,AXW291,Wholesale,65.0,178.65,11612
SO - 019231,2021-01-08,3407CA,AXW291,Wholesale,6.0,1017.592,6106
SO - 019232,2021-01-08,3448CA,AXW291,Wholesale,50.0,6.5255,326
SO - 019233,2021-01-08,3075BA,FLR025,Distributor,2.0,31.0,62
SO - 019234,2021-01-08,1497CA,FLR025,Wholesale,250.0,16.71828,4180
SO - 019235,2021-01-08,2994CA,GUT930,Distributor,1.0,12977.0,12977
SO - 019236,2021-01-08,1511CA,AXW291,Export,7.0,6.787,48
SO - 019237,2021-01-08,2396CA,GUT930,Export,1335.0,0.7646,1021
SO - 019238,2021-01-08,1497CA,FLR025,Distributor,6.0,16.71828,100
SO - 019239,2021-01-08,1445BA,AXW291,Wholesale,1.0,1291.865,1292
SO - 019240,2021-01-08,2021CA,AXW291,Wholesale,7.0,295.27467,2067
SO - 019241,2021-01-09,3025CA,GUT930,Distributor,10.0,1092.5,10925
